licencenumber,businessname,businesstype,localarea,status,failed,numberofemployees,issueddate,expireddate,feepaid,folderyear,postalcode
24-225875,Great Pacific Pharmacies Inc,Retail Dealer - Food,Downtown,Inactive,0,8.0,,,,24,V6Z 1W4
24-226064,1420636 BC Ltd,Limited Service Food Establishment,Downtown,Issued,0,6.0,2024-05-10T21:10:44+00:00,2024-12-31,439.0,24,V6B 4N8
24-228696,1474762 B.C. LTD.,Limited Service Food Establishment,Downtown,Issued,0,5.0,2024-09-09T19:03:45+00:00,2024-12-31,288.0,24,V7Y 1G5
24-228766,3377 Bubble Tea House Ltd,Limited Service Food Establishment,Renfrew-Collingwood,Issued,0,3.0,2024-06-28T23:33:22+00:00,2024-12-31,181.0,24,V5R 5K6
24-229167,OLIVIER'S LA BOULANGERIE (003) LTD.,Restaurant,Riley Park,Issued,0,6.0,2024-05-27T22:57:26+00:00,2024-12-31,699.0,24,V5V 4E2
24-229243,ROTI WALA FACTORY LTD.,Limited Service Food Establishment,Renfrew-Collingwood,Issued,0,3.0,2024-06-18T15:32:57+00:00,2024-12-31,451.0,24,V5R 5J9
24-149403,Yam Yam Foods Ltd,Restaurant,West Point Grey,Issued,0,6.0,2024-06-12T16:11:09+00:00,2024-12-31,256.0,24,V6R 2H9
24-229382,Jin Wei House Restaurant Ltd,Limited Service Food Establishment,Arbutus-Ridge,Issued,0,0.0,2024-06-12T18:18:02+00:00,2024-12-31,181.0,24,V6M 3W4
24-149250,1220792 BC Ltd,Restaurant,Arbutus-Ridge,Issued,0,20.0,2024-05-30T16:32:45+00:00,2024-12-31,305.0,24,V6M 2A3
24-229698,1478952 BC LTD,Limited Service Food Establishment,West End,Issued,0,0.0,2024-05-27T16:35:18+00:00,2024-12-31,181.0,24,V6G 2M8
24-229762,FuQiao Food Ltd,Limited Service Food Establishment,Kitsilano,Issued,0,0.0,2024-06-04T15:33:27+00:00,2024-12-31,181.0,24,V6K 2E3
24-231279,Sultan Enterprises Inc,Limited Service Food Establishment,West End,Issued,0,5.0,2024-06-11T15:33:22+00:00,2024-12-31,505.0,24,V6Z 2K7
24-120354,(Rosa Erika Ramirez Vazquez),Food Manufacturer Assembler and Processor,Renfrew-Collingwood,Cancelled,1,2.0,,,,24,V5R 5K2
24-149392,Keto Caveman Cafe Ltd,Restaurant,Downtown,Issued,0,4.0,2024-05-29T21:49:27+00:00,2024-12-31,617.0,24,V6A 1X3
24-232284,KOREAN SPARKY CHICKEN LTD.,Limited Service Food Establishment,Kensington-Cedar Cottage,Issued,0,6.0,2024-06-18T15:37:22+00:00,2024-12-31,451.0,24,V5V 4G2
24-232669,1321643 B.C. LTD.,Limited Service Food Establishment,Renfrew-Collingwood,Issued,0,3.0,2024-05-24T20:40:46+00:00,2024-12-31,505.0,24,V5M 3W2
24-232786,Compass Group Canada Ltd,Restaurant,Downtown,Pending,0,18.0,,,70.0,24,V6B 0N2
24-233844,Masala Meats Limited,Limited Service Food Establishment,Grandview-Woodland,Pending,0,5.0,,,,24,V5L 3X9
24-148290,New Chongqing Food and Beverage Ltd,Restaurant,Kerrisdale,Issued,0,7.0,2024-05-27T22:15:04+00:00,2024-12-31,,24,V6M 1Y8
24-148157,581787 BC Ltd,Restaurant,Grandview-Woodland,Issued,0,25.0,2024-05-27T23:54:30+00:00,2024-12-31,,24,V5L 3X9
24-235236,Champagne Global Enterprise Ltd,Food Manufacturer Assembler and Processor,Fairview,Cancelled,1,2.0,,,,24,V6J 1K4
24-235255,VEGAS DONUTS LTD.,Limited Service Food Establishment,West End,Issued,0,1.0,2024-07-24T16:06:38+00:00,2024-12-31,397.0,24,V6G 1C7
24-235558,1457874 BC Ltd,Limited Service Food Establishment,South Cambie,Issued,0,6.0,2024-07-08T22:54:02+00:00,2024-12-31,181.0,24,V6H 2M5
24-235742,SUREN KITS BAR & GRILL INC.,Restaurant,Kitsilano,Issued,0,15.0,2024-06-14T23:12:02+00:00,2024-12-31,1919.0,24,V6K 4H9
24-236273,NGUYEN & PHAM ENTERPRISES INC.,Limited Service Food Establishment,Downtown,Issued,0,6.0,2024-10-11T15:19:55+00:00,2024-12-31,181.0,24,V6Z 2R6
24-148273,0794479 BC Ltd,Restaurant,Marpole,Issued,0,45.0,2024-05-31T23:48:36+00:00,2024-12-31,,24,V6P 4Z4
24-238111,Vancouver Sushi Inc,Restaurant,Fairview,Issued,0,4.0,2024-06-13T15:41:33+00:00,2024-12-31,181.0,24,V6H 4C1
24-239075,Vynn Pearl Vietnamese Restaurant Ltd,Restaurant,Downtown,Cancelled,1,8.0,,,,24,V6B 0E7
24-239342,BELLA GELATERIA GLOBAL INC.,Restaurant,Downtown,Issued,0,8.0,2024-08-01T21:10:20+00:00,2024-12-31,463.0,24,V6C 2T6
24-241495,GOOD BOY JASPER GROUP INC.,Limited Service Food Establishment,South Cambie,Issued,0,6.0,2024-06-28T23:17:30+00:00,2024-12-31,397.0,24,V6H 2M4
24-241558,1468433 BC Ltd,Limited Service Food Establishment,Killarney,Issued,0,0.0,2024-10-09T15:36:34+00:00,2024-12-31,451.0,24,V5S 4W2
24-241961,TWO KIDS LTD.,Retail Dealer - Food,Downtown,Pending,0,4.0,,,70.0,24,V6Z 1M5
24-242006,1358883 BC Ltd,Restaurant,Grandview-Woodland,Pending,0,15.0,,,,24,V5L 1V2
24-243303,MUME TEA & WARE LTD.,Retail Dealer - Food,Mount Pleasant,Issued,0,2.0,2024-06-26T15:16:23+00:00,2024-12-31,268.0,24,V5T 0B4
24-243380,Compass Group Canada Ltd,Restaurant,Downtown,Cancelled,1,43.0,,,,24,V6Z 2H7
24-243404,BLEND BISTRO CORP.,Restaurant,Mount Pleasant,Issued,0,8.0,2024-07-03T15:21:58+00:00,2024-12-31,181.0,24,V5Y 1E2
24-243738,(Samira Mohammed),Food Manufacturer Assembler and Processor,Grandview-Woodland,Cancelled,1,0.0,,,,24,V5L 2A8
24-243754,1476638 BC Ltd,Restaurant,Riley Park,Issued,0,25.0,2024-06-19T22:13:01+00:00,2024-12-31,181.0,24,V5Z 2X8
24-243817,MODERN PEROGIE PEROGIES LTD.,Food Manufacturer Assembler and Processor,Grandview-Woodland,Issued,0,2.0,2024-07-16T15:18:14+00:00,2024-12-31,351.0,24,V5L 1M5
24-243829,1158456 B.C. LTD.,Retail Dealer - Food,Sunset,Issued,0,2.0,2024-10-07T19:04:20+00:00,2024-12-31,181.0,24,V5P 2V9
24-128728,High Standard Curry House & Co Ltd,Limited Service Food Establishment,Downtown,Gone Out of Business,1,3.0,2024-06-19T23:08:45+00:00,2024-12-31,,24,V6B 2B7
24-186839,1399737 B.C. LTD.,Restaurant,Downtown,Issued,0,15.0,2024-06-20T20:36:30+00:00,2024-12-31,240.0,24,V6B 0H3
24-244133,1463394 B.C. LTD.,Limited Service Food Establishment,Downtown,Issued,0,8.0,2024-07-05T21:02:29+00:00,2024-12-31,181.0,24,V6B 1G8
25-245429,15697484 CANADA INC.,Limited Service Food Establishment,Grandview-Woodland,Issued,0,5.0,2025-04-10T23:02:30+00:00,2025-12-31,766.0,25,V5N 4B6
24-245832,617594 BC Ltd,Restaurant,Downtown,Issued,0,4.0,2024-07-02T15:49:13+00:00,2024-12-31,181.0,24,V6B 2G5
24-246161,(Nicholas Alexander),Limited Service Food Establishment,Kitsilano,Cancelled,1,4.0,,,,24,V6J 1M3
24-246752,HUMMINGBIRD & BEAN CAFE CORPORATION,Limited Service Food Establishment,South Cambie,Issued,0,4.0,2024-08-02T18:38:18+00:00,2024-12-31,342.0,24,V5Z 4H4
24-246757,ET HUNG TRADING INC.,Retail Dealer - Food,Marpole,Issued,0,2.0,2024-06-28T16:35:09+00:00,2024-12-31,268.0,24,V6P 4J6
24-248785,1336914 BC Ltd,Restaurant,Downtown,Cancelled,1,3.0,,,,24,V6Z 1L4
24-248807,1457374 BC Ltd,Restaurant,Downtown,Pending,0,18.0,,,,24,V6Z 1L3
24-148565,Vynn Pearl Vietnamese Restaurant Ltd,Restaurant,Downtown,Pending,0,8.0,,,,24,V6B 0E7
24-250929,ATHLETIC FUEL INC.,Retail Dealer - Food,Grandview-Woodland,Issued,0,1.0,2024-07-10T15:55:17+00:00,2024-12-31,240.0,24,V5N 4A9
24-251342,BROWNIE BLONDIE BAKERY INC.,Food Manufacturer Assembler and Processor,Strathcona,Issued,0,2.0,2024-07-18T23:22:12+00:00,2024-12-31,311.0,24,V6A 2P3
24-251463,Cactus Cafe English Bay Ltd,Restaurant,West End,Issued,0,100.0,2024-07-12T17:33:36+00:00,2024-12-31,171.0,24,V6G 0A8
24-251784,TGI FOODS CORP.,Retail Dealer - Food,Downtown,Issued,0,3.0,2024-07-12T22:11:46+00:00,2024-12-31,170.0,24,V6B 4Z8
24-251798,1485116 B.C. LTD.,Retail Dealer - Food,Kensington-Cedar Cottage,Issued,0,2.0,2024-08-07T17:27:10+00:00,2024-12-31,212.0,24,V5N 2R9
24-252716,8 Corners Canada Inc.,Restaurant,Downtown,Cancelled,1,5.0,,,,24,V6B 2R9
24-252724,8 Corners Canada Inc.,Limited Service Food Establishment,Downtown,Issued,0,3.0,2024-08-23T17:40:25+00:00,2024-12-31,342.0,24,V6B 2R9
24-252728,EAST VANCOUVER INTERNATIONAL TRADING CO. LIMITED,Wholesale Dealer - Food,Hastings-Sunrise,Issued,0,1.0,2024-07-31T22:41:46+00:00,2024-12-31,311.0,24,
24-252781,1477948 B.C. LTD.,Retail Dealer - Food,Marpole,Issued,0,4.0,2024-08-22T17:38:43+00:00,2024-12-31,181.0,24,V5X 0C4
24-252833,PHO QUYNH VIETNAMESE NOODLE HOUSE LTD.,Restaurant,Downtown,Issued,0,4.0,2024-08-08T17:55:04+00:00,2024-12-31,181.0,24,V6Z 1X9
24-252840,SR.PAPA-SALCHIPAPAS FOODS LTD.,Food Manufacturer Assembler and Processor,Strathcona,Issued,0,1.0,2024-07-16T16:18:18+00:00,2024-12-31,311.0,24,V6A 2P8
24-253240,WINNOTEL CONSULTING & COMMERCIAL SERVICES LTD,Limited Service Food Establishment,Grandview-Woodland,Issued,0,6.0,2024-08-19T18:51:00+00:00,2024-12-31,181.0,24,V5L 1V2
24-253246,MULTIFLORA ROSE CAFE & RESTAURANT CORP,Restaurant,Kensington-Cedar Cottage,Issued,0,11.0,2024-11-07T21:59:19+00:00,2024-12-31,181.0,24,V5N 2T3
24-253549,ARTUROSMEXICO2GO INC,Food Manufacturer Assembler and Processor,Sunset,Cancelled,1,3.0,,,,24,V5X 3X6
24-253596,MCMASTER GROUP HOLDINGS INC.,Limited Service Food Establishment,Marpole,Issued,0,4.0,2024-09-23T15:56:52+00:00,2024-12-31,397.0,24,V5X 0C4
24-253700,CHADO TEA HOUSE LTD.,Wholesale Dealer - Food,Marpole,Cancelled,1,2.0,,,,24,V5X 2X3
24-254493,1370568 B.C. LTD.,Retail Dealer - Food,Downtown,Pending,0,5.0,,,70.0,24,V6Z 1A8
24-255568,TAQUERIA JALISCO RESTAURANT INC.,Restaurant,West End,Pending,0,10.0,,,70.0,24,V6E 1N1
24-175240,MR. SUSHI MAIN STREET INC.,Restaurant,Mount Pleasant,Pending,0,15.0,,,,24,V5T 1B5
24-255662,Five Tea Cafe Ltd.,Limited Service Food Establishment,Sunset,Pending,0,0.0,,,,24,V5W 2Z5
24-256876,(Zhicheng Xu),Wholesale Dealer - Food,South Cambie,Issued,0,1.0,2024-07-29T15:44:08+00:00,2024-12-31,270.0,24,
24-259029,(Sharleen Khurana),Retail Dealer - Food,Sunset,Issued,0,1.0,2024-09-06T15:39:48+00:00,2024-12-31,183.0,24,V5W 3A2
24-261924,(Shawn Ryan),Food Manufacturer Assembler and Processor,Grandview-Woodland,Issued,0,1.0,2024-08-09T16:26:48+00:00,2024-12-31,270.0,24,V6Z 3C1
24-262159,1459640 B.C. LTD.,Retail Dealer - Food,Downtown,Cancelled,1,2.0,,,70.0,24,V6Z 1L8
24-262402,(Echlin Wright),Wholesale Dealer - Food,Kensington-Cedar Cottage,Issued,0,1.0,2024-09-13T17:46:00+00:00,2024-12-31,230.0,24,
24-262428,1464216 BC Ltd,Restaurant,Riley Park,Pending,0,6.0,,,70.0,24,V5Z 2X8
24-179168,YYDS FOOD SERVICE LTD.,Restaurant,Marpole,Issued,0,4.0,2024-09-13T23:50:44+00:00,2024-12-31,266.0,24,V5X 0C4
24-149442,Yao Long Restaurant Limited,Restaurant,Killarney,Pending,0,8.0,,,266.0,24,V5R 5L1
24-264689,LUMIERE COFFEE NO.2 LTD.,Limited Service Food Establishment,Kitsilano,Issued,0,10.0,2024-10-09T20:18:22+00:00,2024-12-31,233.0,24,V6K 2G6
24-148035,Simon Fraser University,Restaurant,Downtown,Issued,0,10.0,2024-08-16T22:46:36+00:00,2024-12-31,,24,V6B 5K2
24-148171,Parnon Restaurant Ltd,Restaurant,Kitsilano,Issued,0,10.0,2024-08-19T17:45:01+00:00,2024-12-31,,24,V6R 1N8
24-148484,Akaike Enterprises Ltd,Restaurant,West Point Grey,Issued,0,3.0,2024-12-23T17:23:30+00:00,2024-12-31,,24,V6R 2H9
24-148601,Kosoo Restaurant Ltd,Restaurant,West End,Issued,0,13.0,2024-08-19T19:04:03+00:00,2024-12-31,,24,V6G 2G5
24-148236,0768638 BC Ltd,Restaurant,Arbutus-Ridge,Issued,0,7.0,2024-08-19T20:47:47+00:00,2024-12-31,,24,V6L 2N8
24-149461,Chancho Enterprises Ltd,Restaurant,Grandview-Woodland,Issued,0,20.0,2024-08-19T20:59:51+00:00,2024-12-31,,24,V5N 4B2
24-266681,THE HARD BEAN BRUNCH CO. WATERFRONT INC.,Restaurant,Downtown,Issued,0,50.0,2024-11-09T00:11:53+00:00,2024-12-31,522.0,24,V6C 0A7
24-148368,Stock Room Enterprises Ltd,Restaurant,Downtown,Issued,0,25.0,2024-08-19T23:45:20+00:00,2024-12-31,,24,V6B 5P6
24-266720,YUKI&KIM FOODS LTD.,Limited Service Food Establishment,Killarney,Inactive,0,2.0,2024-09-12T18:04:56+00:00,2024-12-31,288.0,24,V5R 5M2
24-267018,1485877 BC Ltd,Retail Dealer - Food,Downtown,Issued,0,4.0,2024-09-10T23:19:02+00:00,2024-12-31,181.0,24,V6Z 1L4
24-267083,Ocean Goose Restaurant Ltd,Restaurant,Kitsilano,Pending,0,15.0,,,,24,V6J 1M3
24-149504,Sushi Bar Maumi Inc,Restaurant,West End,Issued,0,2.0,2024-08-21T21:24:59+00:00,2024-12-31,,24,V6G 1C7
24-149483,CHICKEN BOX SOUTH MAIN LTD,Restaurant,Riley Park,Issued,0,12.0,2024-08-21T21:59:37+00:00,2024-12-31,,24,V5V 3R2
24-149033,Academic Public House Enterprises Ltd,Restaurant,Downtown,Issued,0,30.0,2024-08-22T21:47:07+00:00,2024-12-31,,24,V6C 0C5
24-207518,MEHMI ENTERPRISES Ltd,Restaurant,Kitsilano,Issued,0,7.0,2024-08-23T16:46:37+00:00,2024-12-31,,24,V6R 2B7
24-149558,Ahluwalia Hospitality Coal Harbor Ltd,Restaurant,Downtown,Issued,0,80.0,2024-08-23T18:03:56+00:00,2024-12-31,,24,V6C 0C3
24-269791,(Shayna Anahi Nunez Alvarez),Food Manufacturer Assembler and Processor,Strathcona,Issued,0,1.0,2024-09-01T15:51:24+00:00,2024-12-31,230.0,24,V6A 2P8
24-269829,MAIHAN FOODSERVICES LTD.,Retail Dealer - Food,Kensington-Cedar Cottage,Cancelled,1,2.0,,,70.0,24,V5V 3B9
24-149484,Monzo Restaurants Ltd,Restaurant,Downtown,Pending,0,36.0,,,,24,V6Z 1N1
24-269884,36T FOODS LTD.,Food Manufacturer Assembler and Processor,Strathcona,Issued,0,2.0,2024-08-28T21:25:41+00:00,2024-12-31,270.0,24,V6R 4N6
24-270508,1422508 B.C. LTD.,Retail Dealer - Food,South Cambie,Issued,0,3.0,2024-09-09T20:01:31+00:00,2024-12-31,142.0,24,V5Z 4M4
24-270513,MR. RED CAFE INC.,Restaurant,Kitsilano,Issued,0,6.0,2024-09-18T20:51:06+00:00,2024-12-31,181.0,24,V6K 2H2
24-149188,Canwell Enterprises Ltd,Restaurant,South Cambie,Issued,0,4.0,2024-11-25T18:55:37+00:00,2024-12-31,30.0,24,V5Z 2K6
24-130232,The Nut Merchant Ltd,Food Manufacturer Assembler and Processor,Sunset,Issued,0,2.0,2024-09-11T21:23:08+00:00,2024-12-31,30.0,24,V5X 0B2
24-273652,Korean Kim's Chicken Restaurant Ltd,Restaurant,West Point Grey,Issued,0,4.0,2024-09-10T16:00:03+00:00,2024-12-31,181.0,24,V6R 4A8
24-201139,1427462 BC Ltd,Restaurant,West End,Issued,0,38.0,2024-09-06T23:37:20+00:00,2024-12-31,524.0,24,V6E 1T7
24-274206,The Hestia Veggie Ltd,Restaurant,West End,Cancelled,1,0.0,,,,24,V6E 1N2
24-275094,VAPE SPOT SMOKES INC.,Retail Dealer - Food,Marpole,Issued,0,2.0,2024-10-08T16:23:25+00:00,2024-12-31,183.0,24,V6P 4A8
24-275175,ANMOL BRAR RESTAURANTS LTD.,Limited Service Food Establishment,Fairview,Issued,0,6.0,2024-10-09T23:34:38+00:00,2024-12-31,233.0,24,V6H 3G1
24-275484,(Evelina Edwardsson),Food Manufacturer Assembler and Processor,Kensington-Cedar Cottage,Issued,0,1.0,2024-11-04T16:18:05+00:00,2024-12-31,190.0,24,V5V 4E8
24-275775,1499323 BC LTD.,Retail Dealer - Food,Sunset,Cancelled,1,0.0,,,,24,V5X 3H3
24-275783,1494267 BC Ltd,Limited Service Food Establishment,West End,Issued,0,2.0,2024-09-17T16:50:47+00:00,2024-12-31,181.0,24,V6E 1N1
